Tony Stark|Thor|Tony and Thor are both Avengers
Tony Stark|Bruce Banner|Tony and Bruce are both Avengers
Tony Stark|Steve Rogers|Tony and Steve are both Avengers
Tony Stark|Natasha Romanoff|Tony and Nat are both Avengers
Tony Stark|Clint Barton|Tony and Clint are both Avengers
Tony Stark|Ultron|Tony kinda created Ultron
Tony Stark|Nick Fury|Nick gave Tony a pep talk on the farm
Tony Stark|James Rhodes|Tony and Rhodey are besties
Tony Stark|Pietro Maximoff|Tony and Pietro were (briefly) both Avengers
Tony Stark|Wanda Maximoff|Tony and Wanda fought together against Ultron in Sokovia
Tony Stark|JARVIS|JARVIS controls Tony's suits and buildings
Tony Stark|Vision|Tony and Vision are both Avengers
Tony Stark|Maria Hill|Hill worked for Stark at Avengers tower
Tony Stark|Sam Wilson|Sam and Tony met at the Avengers party
Tony Stark|Laura Barton|Tony hid at the Barton's farm
Tony Stark|Dr Helen Cho|Tony had Helen met at Avengers tower
Tony Stark|Ulysses Klaue|Tony knew Klaue from his arms dealer days
Tony Stark|Doctor List|Tony interrupted List when he was deleting Hydra's files
Tony Stark|Cooper Barton|Tony met Cooper at the Barton's farm
Tony Stark|Lila Barton|Tony met Lila at the Barton's farm
Tony Stark|FRIDAY|Tony created FRIDAY to be his new digital PA
Thor|Bruce Banner|Thor and Bruce are both Avengers
Thor|Steve Rogers|Thor and Steve are both Avengers
Thor|Natasha Romanoff|Thor and Nat are both Avengers
Thor|Clint Barton|Thor and Clint are both Avengers
Thor|Ultron|Thor hammered many Ultron drones to pieces
Thor|James Rhodes|Rhodey told Thor a very impressive and complete story
Thor|Pietro Maximoff|Thor and Pietro were (briefly) both Avengers
Thor|Wanda Maximoff|Wanda made Thor see Ragnarok
Thor|Vision|Both are worthy
Thor|Maria Hill|Thor and Hill were both at the Avengers party
Thor|Heimdall|Thor supposed led Heimdall and Asgard to Hel
Thor|Laura Barton|Thor met Laura at the Barton's farm
Thor|Erik Selvig|Thor went to Erik to help him find the magic Jacuzzi
Thor|Dr Helen Cho|Thor and Helen were both at the Avengers party
Thor|Cooper Barton|Thor met Cooper at the Barton's farm
Thor|Lila Barton|Thor met Lila at the Barton's farm
Bruce Banner|Steve Rogers|Bruce and Steve are both Avengers
Bruce Banner|Natasha Romanoff|Bruce and Natasha, sitting in a tree...
Bruce Banner|Clint Barton|Bruce and Clint are both Avengers
Bruce Banner|Ultron|Hulk smash puny Ultron's
Bruce Banner|Nick Fury|Fury gave Bruce and the other Avengers a pep talk
Bruce Banner|James Rhodes|Bruce and Rhodey were both at the Avengers party
Bruce Banner|Pietro Maximoff|Bruce and Pietro were (briefly) both Avengers
Bruce Banner|Wanda Maximoff|Wanda made Bruce Hulk-out in South Africa
Bruce Banner|JARVIS|Bruce and JARVIS worked together to create Ultron
Bruce Banner|Vision|Bruce and Vision are both Avengers
