Tony Stark|Thor|
Tony Stark|Bruce Banner|Bruce embarrased Tony infront of the wizards
Tony Stark|Steve Rogers|
Tony Stark|Natasha Romanoff|
Tony Stark|James Rhodes|
Tony Stark|Doctor Stephen Strange|Tony saved Strange's life as a professional courtesy
Tony Stark|Peter Parker|Tony dubbed Peter an Avenger
Tony Stark|T'Challa|
Tony Stark|Gamora|
Tony Stark|Nebula|Tony and Nebula were the only survivors of the snap together on Titan
Tony Stark|Loki|
Tony Stark|Vision|Tony let Vision go off grid
Tony Stark|Wanda Maximoff|
Tony Stark|Sam Wilson|
Tony Stark|Bucky Barnes|
Tony Stark|Heimdall|
Tony Stark|Okoye|
Tony Stark|Eitri the Dwarf|
Tony Stark|Wong|Tony invited Wong to his wedding
Tony Stark|Mantis|Tony and Mantis fought Thanos together on Titan
Tony Stark|Drax|Drax stopped paying attention when Tony said they needed a plan
Tony Stark|Groot|
Tony Stark|Rocket|
Tony Stark|Pepper Potts|Tony and Pepper are engaged
Tony Stark|The Collector|
Tony Stark|Thanos|Tony had Thanos' respect
Tony Stark|Peter Quill|Tony actually believed Peter's name was Star Lord
Tony Stark|Thaddeus Ross|
Tony Stark|Shuri|
Tony Stark|Cull Obsidian|Tony fought Cull Obsidian in New York
Tony Stark|Ebony Maw|Tony blew Maw out into space
Tony Stark|Proxima Midnight|
Tony Stark|Corvus Glaive|
Tony Stark|M'Baku|
Tony Stark|Ayo|
Tony Stark|FRIDAY|FRIDAY lost contact with Tony as he boarded Ebony Maw's spaceship
Tony Stark|Ned Leeds|
Tony Stark|Cindy Moon|
Tony Stark|Sally Avril|
Tony Stark|Tiny McKeever|
Tony Stark|Red Skull|
Tony Stark|Nick Fury|
Tony Stark|Maria Hill|
Tony Stark|Carol Danvers|
Thor|Bruce Banner|Thor and Bruce fought together against Thanos
Thor|Steve Rogers|Steve copied Thor's beard
Thor|Natasha Romanoff|Thor and Natasha failed to stop Thanos in Wakanda
Thor|James Rhodes|Thor and Rhodey failed to stop Thanos in Wakanda
Thor|Doctor Stephen Strange|
Thor|Peter Parker|
Thor|T'Challa|Thor and T'Challa failed to stop Thanos in Wakanda
Thor|Gamora|Thor tried to bond with Gamora over their difficult family histories
Thor|Nebula|
Thor|Loki|Loki's confidence that the sun would shine on him and Thor again was misplaced
Thor|Vision|
Thor|Wanda Maximoff|Thor and Wanda met on the Wakandan battlefield
Thor|Sam Wilson|Thor and Sam failed to stop Thanos in Wakanda
Thor|Bucky Barnes|Thor and Bucky failed to stop Thanos in Wakanda
Thor|Heimdall|Heimdall was killed infront of Thor for sending Bruce Banner to Earth
Thor|Okoye|Thor and Okoye failed to stop Thanos in Wakanda
Thor|Eitri the Dwarf|Eitri made the axe 'Stormbreaker' for Thor to use against Thanos
Thor|Wong|
Thor|Mantis|Thor couldn't tell Mantis if Kevin Bacon was an Avenger or not
Thor|Drax|Drax described the unconscious Thor as the child of a Pirate and an Angel
Thor|Groot|Groot completed Stormbreaker to save Thor's life on Nidavellir
Thor|Rocket|Captain Rocket accompanied Thor to Nidavellir
Thor|Pepper Potts|
Thor|The Collector|
Thor|Thanos|Thor should have aimed for Thanos' head
Thor|Peter Quill|Peter changed his voice to sound more like Thor
Thor|Thaddeus Ross|
Thor|Shuri|
Thor|Cull Obsidian|Cull Obsidian saw Thanos take down Thor on the asgardian refugee vessel
Thor|Ebony Maw|Maw restrained Thor telekinetically on the asgardian refugee vesel
Thor|Proxima Midnight|Proxima saw Thanos take down Thor on the asgardian refugee vessel
Thor|Corvus Glaive|Corvus Glaive saw Thanos take down Thor on the asgardian refugee vessel
Thor|M'Baku|
Thor|Ayo|
Thor|FRIDAY|
Thor|Ned Leeds|
Thor|Cindy Moon|
Thor|Sally Avril|
Thor|Tiny McKeever|
Thor|Red Skull|
Thor|Nick Fury|
Thor|Maria Hill|
Thor|Carol Danvers|
Bruce Banner|Steve Rogers|Bruce and Steve fought together in Wakanda
Bruce Banner|Natasha Romanoff|Bruce thought Nat looked great when she returned to The Avengers' compound
Bruce Banner|James Rhodes|Bruce and Rhodey fought together in Wakanda
Bruce Banner|Doctor Stephen Strange|Bruce warned Dr Strange that Thanos was coming
Bruce Banner|Peter Parker|
Bruce Banner|T'Challa|Bruce bowed before king T'Challa
Bruce Banner|Gamora|
Bruce Banner|Nebula|
Bruce Banner|Loki|Loki and Bruce, as the Hulk, failed to stop Thanos on the asgardian refugee vessel
Bruce Banner|Vision|Bruce was unable to safely remove the mind stone from Vision's head in New York
Bruce Banner|Wanda Maximoff|Bruce and Wanda went to Wakanda together to try and save Vision
Bruce Banner|Sam Wilson|Bruce and Sam fought together in Wakanda
Bruce Banner|Bucky Barnes|Bucky welcomed Bruce and the other Avengers to Wakanda
Bruce Banner|Heimdall|Heimdall sent Bruce to Earth to warn of Thanos' coming
Bruce Banner|Okoye|Okoye was not impressed with Bruce's piloting of the Hulkbuster armour
Bruce Banner|Eitri the Dwarf|
Bruce Banner|Wong|Wong saved Bruce's life from Ebony Maw and Cull Obsidian
Bruce Banner|Mantis|
Bruce Banner|Drax|
Bruce Banner|Groot|
Bruce Banner|Rocket|Bruce and Rocket survived the Snap together in Wakanda
Bruce Banner|Pepper Potts|Bruce met Pepper in a park in New York
Bruce Banner|The Collector|
Bruce Banner|Thanos|Thanos phased Bruce into a cliff in Wakanda
Bruce Banner|Peter Quill|
Bruce Banner|Thaddeus Ross|
Bruce Banner|Shuri|Shuri was not impressed by Bruce's work on Vision
Bruce Banner|Cull Obsidian|Bruce tried to confront Cull Obsidian in New York
Bruce Banner|Ebony Maw|Bruce tried to confront Cull Obsidian in New York
Bruce Banner|Proxima Midnight|Bruce, as Hulk, got beaten by Thanos infront of Proxima Midnight
Bruce Banner|Corvus Glaive|Bruce, as Hulk, got beaten by Thanos infront of Corvus Glaive
Bruce Banner|M'Baku|Bruce and M'Baku fought together in Wakanda
Bruce Banner|Ayo|Ayo was present when Bruce and the other Avengers arrived in Wakanda
Bruce Banner|FRIDAY|
Bruce Banner|Ned Leeds|
Bruce Banner|Cindy Moon|
Bruce Banner|Sally Avril|
Bruce Banner|Tiny McKeever|
Bruce Banner|Red Skull|
Bruce Banner|Nick Fury|
Bruce Banner|Maria Hill|
Bruce Banner|Carol Danvers|
Steve Rogers|Natasha Romanoff|Steve and Nat fought alongside eachother in Wakanda
Steve Rogers|James Rhodes|Rhodey refused to arrest Steve on his return to the Avengers' compound
Steve Rogers|Doctor Stephen Strange|
Steve Rogers|Peter Parker|
Steve Rogers|T'Challa|Steve and T'Challa were first to engage Thanos' army in Wakanda
Steve Rogers|Gamora|
Steve Rogers|Nebula|
Steve Rogers|Loki|
Steve Rogers|Vision|Steve refused to let Vision sacrifice himself to prevent Thanos' apocalypse
Steve Rogers|Wanda Maximoff|Steve saved Wanda from Thanos' children in Edinburgh
Steve Rogers|Sam Wilson|Steve and Sam didn't stay in five star hotels together
Steve Rogers|Bucky Barnes|Steve saw Bucky turn to dust after the snap
Steve Rogers|Heimdall|
Steve Rogers|Okoye|Steve and Okoye fought together in Wakanda
Steve Rogers|Eitri the Dwarf|
Steve Rogers|Wong|
Steve Rogers|Mantis|
Steve Rogers|Drax|
Steve Rogers|Groot|
Steve Rogers|Rocket|Steve and Rocket fought together in Wakanda
Steve Rogers|Pepper Potts|
Steve Rogers|The Collector|
Steve Rogers|Thanos|Steve was the only one to try and stop Thanos twice in Wakanda
Steve Rogers|Peter Quill|
Steve Rogers|Thaddeus Ross|Ross ordered Steve arrested when he interrupted his conference call with Rhodey
Steve Rogers|Shuri|Steve met with Shuri to try and safely remove the mind stone from Vision's head
Steve Rogers|Cull Obsidian|
Steve Rogers|Ebony Maw|
Steve Rogers|Proxima Midnight|Steve helped fight off Proxima Midnight in Edinburgh
Steve Rogers|Corvus Glaive|Steve helped fight off Corvus Glaive in Edinburgh
Steve Rogers|M'Baku|Steve and M'Baku fought alongside eachother in Wakanda
Steve Rogers|Ayo|Ayo was present when Steve and the other Avengers arrived in Wakanda
Steve Rogers|FRIDAY|
Steve Rogers|Ned Leeds|
Steve Rogers|Cindy Moon|
Steve Rogers|Sally Avril|
Steve Rogers|Tiny McKeever|
Steve Rogers|Red Skull|
Steve Rogers|Nick Fury|
Steve Rogers|Maria Hill|
Steve Rogers|Carol Danvers|
Natasha Romanoff|James Rhodes|Rhodey welcomed Natasha back to the Avengers' compound
Natasha Romanoff|Doctor Stephen Strange|
Natasha Romanoff|Peter Parker|
Natasha Romanoff|T'Challa|T'Challa and Natasha fought together in Wakanda against Thanos
Natasha Romanoff|Gamora|
Natasha Romanoff|Nebula|
Natasha Romanoff|Loki|
Natasha Romanoff|Vision|Natasha helped save Vision from the children of Thanos in Edinburgh
Natasha Romanoff|Wanda Maximoff|Natasha and Wanda fought together to defeat Proxima Midnight in Wakanda
Natasha Romanoff|Sam Wilson|Sam and Natasha helped fight off the black order in Edinburgh
Natasha Romanoff|Bucky Barnes|Natasha and Bucky fought together in Wakanda
Natasha Romanoff|Heimdall|
Natasha Romanoff|Okoye|Okoye and Natasha fought together to defeat Proxima Midnight in Wakanda
Natasha Romanoff|Eitri the Dwarf|
Natasha Romanoff|Wong|
Natasha Romanoff|Mantis|
Natasha Romanoff|Drax|
Natasha Romanoff|Groot|
Natasha Romanoff|Rocket|Rocket and Natasha survived the snap alongside eachother in Wakanda
Natasha Romanoff|Pepper Potts|
Natasha Romanoff|The Collector|
Natasha Romanoff|Thanos|Natasha tried to stop Thanos with a TASER
Natasha Romanoff|Peter Quill|
Natasha Romanoff|Thaddeus Ross|Nat interrupted Ross' conference call with Rhodey
Natasha Romanoff|Shuri|Natasha met Shuri with the other Avengers to get the mind stone out of Vision
Natasha Romanoff|Cull Obsidian|Natasha met Cull Obsidian at the force field's edge in Wakanda
Natasha Romanoff|Ebony Maw|
Natasha Romanoff|Proxima Midnight|Natasha helped defeat Proxima Midnight in Wakanda
Natasha Romanoff|Corvus Glaive|Natasha helped fight off Corvus Glaive in Edinburgh
Natasha Romanoff|M'Baku|Natasha and M'Baku fought together in Wakanda
Natasha Romanoff|Ayo|Ayo was present when Natasha and the other Avengers arrived in Wakanda
Natasha Romanoff|FRIDAY|
Natasha Romanoff|Ned Leeds|
Natasha Romanoff|Cindy Moon|
Natasha Romanoff|Sally Avril|
Natasha Romanoff|Tiny McKeever|
Natasha Romanoff|Red Skull|
Natasha Romanoff|Nick Fury|
Natasha Romanoff|Maria Hill|
Natasha Romanoff|Carol Danvers|
James Rhodes|Doctor Stephen Strange|
James Rhodes|Peter Parker|
James Rhodes|T'Challa|Rhodey and T'Challa fought together against Thanos in Wakanda
James Rhodes|Gamora|
James Rhodes|Nebula|
James Rhodes|Loki|
James Rhodes|Vision|Rhodey went with Vision to Wakanda 
James Rhodes|Wanda Maximoff|Rhodey and Wanda went to Wakanda with the other Avengers
James Rhodes|Sam Wilson|Rhodey and Falcon provide air support together during the battle in Wakanda
James Rhodes|Bucky Barnes|Rhodey and Bucky fought together in Wakanda
James Rhodes|Heimdall|
James Rhodes|Okoye|Rhodey and Okoye fought together in Wakanda
James Rhodes|Eitri the Dwarf|
James Rhodes|Wong|
James Rhodes|Mantis|
James Rhodes|Drax|
James Rhodes|Groot|Rhodey and Groot tried to stop Thanos in Wakanda
James Rhodes|Rocket|Rhodey and Rocket survived the snap together in Wakanda
James Rhodes|Pepper Potts|
James Rhodes|The Collector|
James Rhodes|Thanos|Thanos crushed the weapons on Rhodey's suit with the space stone
James Rhodes|Peter Quill|
James Rhodes|Thaddeus Ross|Ross ordered Rhodey to arrest Steve Rogers and the other fugitive Avengers
James Rhodes|Shuri|
James Rhodes|Cull Obsidian|
James Rhodes|Ebony Maw|
James Rhodes|Proxima Midnight|
James Rhodes|Corvus Glaive|
James Rhodes|M'Baku|
James Rhodes|Ayo|Ayo was present when Rhodey and the other Avengers arrived in Wakanda
James Rhodes|FRIDAY|
James Rhodes|Ned Leeds|
James Rhodes|Cindy Moon|
James Rhodes|Sally Avril|
James Rhodes|Tiny McKeever|
James Rhodes|Red Skull|
James Rhodes|Nick Fury|
James Rhodes|Maria Hill|
James Rhodes|Carol Danvers|
Doctor Stephen Strange|Peter Parker|Peter got abducted when trying to stop Strange getting abducted
Doctor Stephen Strange|T'Challa|
Doctor Stephen Strange|Gamora|
Doctor Stephen Strange|Nebula|Nebula and Strange fought together against Thanos on Titan
Doctor Stephen Strange|Loki|
Doctor Stephen Strange|Vision|
Doctor Stephen Strange|Wanda Maximoff|
Doctor Stephen Strange|Sam Wilson|
Doctor Stephen Strange|Bucky Barnes|
Doctor Stephen Strange|Heimdall|
Doctor Stephen Strange|Okoye|
Doctor Stephen Strange|Eitri the Dwarf|
Doctor Stephen Strange|Wong|Strange and Wong work together to protect the Sanctum Sanctorum
Doctor Stephen Strange|Mantis|Strange portalled Mantis onto Thanos' head
Doctor Stephen Strange|Drax|Strange and Drax fought together with knives and swords against Thanos
Doctor Stephen Strange|Groot|
Doctor Stephen Strange|Rocket|
Doctor Stephen Strange|Pepper Potts|Strange congratulated Pepper and Tony on their engagement
Doctor Stephen Strange|The Collector|
