Peter Parker|May Parker|May is Peter's Aunt
Peter Parker|Karen 'Suit Lady'|Karen is the AI in Peter's suit
Peter Parker|Mr Delmar|Peter is a regular at Delmar's sandwich shop
Peter Parker|Murph the cat|Peter saved Murph from the debris of Delmar's sandwich shop
Peter Parker|Betty Brant|Peter and Betty were in the same gym class
Peter Parker|Michelle 'MJ' Jones|Peter and Michelle were both in the academic decathlon team
Peter Parker|Ned Leeds|Ned became Peter's guy in the chair
Peter Parker|Liz Toomes|Peter took Liz to homecoming
Peter Parker|Flash Thompson|Flash bullied Peter at school
Peter Parker|Tiny McKeever|Tiny walked out of a toilet cubicle when Peter was talking to Happy
Peter Parker|Seymour O'Reilly|Peter and Seymour were classmates at Midtown
Peter Parker|Charles Murphy|Peter and Charles were on the academic decathlon team together
Peter Parker|Sally Avril|Peter and Sally were on the academic decathlon team together
Peter Parker|Cindy Moon|Peter and Cindy were on the academic decathlon team together
Peter Parker|Abe Brown|Peter and Abe were on the academic decathlon team together
Peter Parker|Jason Ionello|Peter and Jason were classmates at Midtown
Peter Parker|Coach Wilson|Peter was in Coach Wilson's class at Midtown
Peter Parker|Principal Morita|Pricipal Morita gave Peter detention 
Peter Parker|Ms Warren|Ms Warren was Peter's physics teacher at Midtown
Peter Parker|Mr Cobbwell|Peter makes his web fluid during Mr Cobbwell's chemistry class
Peter Parker|Roger Harrington|Harrington led the academic decathlon team Peter was part of
Peter Parker|Adrian 'Vulture' Toomes|Peter foiled several of Toomes' heists and had him arrested
Peter Parker|Mac 'Scorpion' Gargan|Gargan was one of the thugs Peter fought on the Staten Island ferry
Peter Parker|Jackson 'Shocker' Brice|Peter interrupted Jackson's weapons sale
Peter Parker|Herman 'Shocker' Schultz|Herman attacked Peter outside the homecoming dance
Peter Parker|Aaron 'Prowler' Davis|Peter interrogated Aaron to find the Vulture
Peter Parker|Randy Vale|Peter webbed Randy up during the fight on the Staten Island ferry
Peter Parker|Doris Toomes|Peter met Doris when taking her daughter to homecoming
Peter Parker|Tony Stark|Tony offered Peter the chance to join the Avengers
Peter Parker|Happy Hogan|Happy took Peter to Germany
Peter Parker|FRIDAY|FRIDAY informed Peter that Tony was no longer on the phone after being saved from drowning
Peter Parker|Marjorie|Peter disturbed Marjorie when attempting to stop a 'car theif'
May Parker|Ned Leeds|May drove Ned to Liz's party
Karen 'Suit Lady'|Ned Leeds|Ned disabled the training wheels program, activating Karen
Karen 'Suit Lady'|Tony Stark|Tony put everything into Peter's suit, including Karen
Mr Delmar|Murph the cat|Murph is Mr Delmar's cat
Mr Delmar|Aaron 'Prowler' Davis|Aaron doesn't think Mr Delmar uses enough bread in his sandwiches
Betty Brant|Michelle 'MJ' Jones|Betty and MJ are classmates at Midtown
Betty Brant|Ned Leeds|Betty and Ned are classmates at Midtown
Betty Brant|Liz Toomes|Betty and Liz are classmates at Midtown
Betty Brant|Flash Thompson|Betty and Flash are classmates at Midtown
Betty Brant|Tiny McKeever|Betty and Tiny are classmates at Midtown
Betty Brant|Seymour O'Reilly|Betty and Seymour are classmates at Midtown
Betty Brant|Charles Murphy|Betty and Charles are classmates at Midtown
Betty Brant|Sally Avril|Betty and Sally are classmates at Midtown
Betty Brant|Cindy Moon|Betty and Cindy are classmates at Midtown
Betty Brant|Abe Brown|Betty and Abe are classmates at Midtown
Betty Brant|Jason Ionello|Betty and Jason host the Midtown news update together
Betty Brant|Coach Wilson|Betty is a student in Coach Wilson's gym class
Betty Brant|Principal Morita|Morita is Betty's principal at Midtown
Michelle 'MJ' Jones|Ned Leeds|Michelle and Ned are on Midtown's academic decathlon team together
Michelle 'MJ' Jones|Liz Toomes|Michelle went to Liz's house party
Michelle 'MJ' Jones|Flash Thompson|Michelle and Flash are both in the academic decathlon team
Michelle 'MJ' Jones|Tiny McKeever|Michelle and Tiny are classmates at Midtown
Michelle 'MJ' Jones|Seymour O'Reilly|Seymour and Michelle are classmates at Midtown
Michelle 'MJ' Jones|Charles Murphy|Michelle and Charles are classmates at Midtown
Michelle 'MJ' Jones|Sally Avril|Michelle and Sally are classmates at Midtown
Michelle 'MJ' Jones|Cindy Moon|Michelle and Cindy are classmates at Midtown
Michelle 'MJ' Jones|Abe Brown|Michelle and Abe are classmates at Midtown
Michelle 'MJ' Jones|Jason Ionello|Jason and Michelle are classmates at Midtown
Michelle 'MJ' Jones|Coach Wilson|Michellle is a student in Coach Wilson's gym class
Michelle 'MJ' Jones|Principal Morita|Morita is Michelle's principal at Midtown
Michelle 'MJ' Jones|Roger Harrington|Harrington is head of Michelle's academic decathlon team
Ned Leeds|Liz Toomes|Ned and Liz were in Midtown's academic decathlon team together
Ned Leeds|Flash Thompson|Ned and Flash are both in Midtown's academic decathlon team
Ned Leeds|Tiny McKeever|Ned and Tiny are classmates at Midtown
Ned Leeds|Seymour O'Reilly|Ned and Seymour are classmates at Midtown
