Matt Murdock|Foggy Nelson|Nelson and Murdock, Avocados at law.
Matt Murdock|Karen Page|Matt and Karen shared a beautifully lit dinner
Foggy Nelson|Karen Page|Foggy and Karen worked together at Nelson and Murdock
Zudy Almeida|Matt Murdock|Daredevil saved Zudy from her abusive husband
Zudy Almeida|Foggy Nelson|Foggy sent Zudy to a shelter to escape her abusive husband
Mr Almeida|Zudy Almeida|The Almeida's were married to each other
Mr Almeida|Matt Murdock|Daredevil stopped Mr Almeida from killing his wife
Mr Marino|Matt Murdock|Mr Marino went to Nelson and Murdock after his dog was beaten
Mr Marino|Foggy Nelson|Mr Marino went to Nelson and Murdock after his dog was beaten
Mr Marino|Karen Page|Mr Marino met Karen at Nelson and Murdock
Mr Marino|Mr Maxwell|Marino and Maxwell met at Nelson and Murdock
Mr Marino|Miss Jacinto|Jacinto and Marino met at Nelson and Murdock
Mr Maxwell|Matt Murdock|Maxwell went to Nelson and Murdock after he was attacked in a bar
Mr Maxwell|Foggy Nelson|Maxwell went to Nelson and Murdock after he was attacked in a bar
Mr Maxwell|Karen Page|Maxwell met Karen at Nelson and Murdock
Mr Maxwell|Miss Jacinto|Jacinto and Marino met at Nelson and Murdock
Miss Jacinto|Matt Murdock|Jacinto went to Nelson and Murdock for help with work papers
Miss Jacinto|Foggy Nelson|Jacinto went to Nelson and Murdock for help with work papers
Miss Jacinto|Karen Page|Jacinto met Karen at Nelson and Murdock
Mr Nesbitt|Kitchen Irish Thomas|Thomas welcomed Nesbitt to the Kitchen Irish gang meeting
Kitchen Irish Thomas|Elliot 'Grotto' Grote|Grotto and Thomas were both in the Kitchen Irish gang
Kitchen Irish Thomas|Kitchen Irish George|George and Thomas were both in the Kitchen Irish gang
Elliot 'Grotto' Grote|Mr Nesbitt|Grotto worked under Nesbitt in the Kitchen Irish gang
Elliot 'Grotto' Grote|Kitchen Irish George|George and Grotto were both in the Kitchen Irish gang
Kitchen Irish George|Mr Nesbitt|Nesbitt and George were both at the Kitchen Irish meeting
Kitchen Irish Thomas|Max|Thomas chained Max up before the Kitchen Irish massacre
Mr Nesbitt|Max|Max was taken outside as Nesbitt arrived at the Kitchen Irish meeting
Barkeeper Josie|Karen Page|Karen was a customer at Josies bar
Barkeeper Josie|Matt Murdock|Matt was a customer at Josies bar
Barkeeper Josie|Foggy Nelson|Foggy was a customer at Josies bar
Elliot 'Grotto' Grote|Barkeeper Josie|Grotto went to Josie's to find Matt and Foggy
Elliot 'Grotto' Grote|Matt Murdock|Grotto told Matt about the Kitchen Irish massacre
Elliot 'Grotto' Grote|Foggy Nelson|Grotto told Foggy about the Kitchen Irish massacre
Elliot 'Grotto' Grote|Karen Page|Grotto met Karen telling Matt and Foggy about the Kitchen Irish massacre
Brett Mahoney|Matt Murdock|Matt met with Brett about the Kitchen Irish massacre
Brett Mahoney|Foggy Nelson|Foggy spoke with Brett about the Kitchen Irish massacre
Matt Murdock|Turk Barrett|Daredevil interrupted a gun sale Turk was running
Foggy Nelson|Dogs of Hell Smitty|Foggy used to know Smitty back in school
Foggy Nelson|Ricky Wex|Wex was a client Foggy helped out
Foggy Nelson|Dogs of Hell Pope|Foggy helped Pope get the operation he needed
Frank Castle|Elliot 'Grotto' Grote|Frank killed Grotto for his crimes
Frank Castle|Karen Page|Karen worked with Frank during his trial
Frank Castle|Matt Murdock|Matt tried to stop Frank from killing people
Brett Mahoney|Karen Page|Karen spoke with Brett at the police precinct
Brett Mahoney|Elliot 'Grotto' Grote|Brett spoke with Grotto at the police precinct
