Luke Cage|Henry 'Pop' Hunter|Luke worked at Pop's barber shop
Luke Cage|Lonnie Wilson|Lonnie was a customer at Pop's barber shop, where Luke worked
Luke Cage|Wilfredo 'Chico' Diaz|Chico and Luke both worked at Pop's barber shop
Luke Cage|Shameek Smith|Shameek was a customer at Pop's barber shop, where Luke worked
Luke Cage|Bobby Fish|Bobby was a regular at Pop's barber shop, where Luke worked
Henry 'Pop' Hunter|Lonnie Wilson|Lonnie was a customer at Pop's barber shop
Henry 'Pop' Hunter|Wilfredo 'Chico' Diaz|Chico worked at Pop's barber shop. Pop tried to protect him from Cottonmouth
Henry 'Pop' Hunter|Shameek Smith|Shameek was a customer at Pop's barber shop
Henry 'Pop' Hunter|Bobby Fish|Pop and Bobby were old friends
Lonnie Wilson|Wilfredo 'Chico' Diaz|Lonnie was a customer at Pop's barber shop, where Chico worked
Lonnie Wilson|Shameek Smith|Lonnie and Shameek got their hair cut at the same time in Pop's barber shop
Lonnie Wilson|Bobby Fish|Lonnie and Bobby were in Pop's barber shop at the same time
Wilfredo 'Chico' Diaz|Shameek Smith|Shameek was a customer at Pop's barber shop, where Chico worked
Wilfredo 'Chico' Diaz|Bobby Fish|Chico worked at Pop's barber shop, which Bobby was a regular at
Shameek Smith|Bobby Fish|Shameek and Bobby were in Pop's barber shop at the same time
Patricia Wilson|Luke Cage|Patricia told Luke they should get coffee some time
Patricia Wilson|Henry 'Pop' Hunter|Patricia took her son to Pop's barber shop
Patricia Wilson|Lonnie Wilson|Patricia is Lonnie's mother
Patricia Wilson|Wilfredo 'Chico' Diaz|Chico was in Pop's barber shop when Patricia collected her son
Patricia Wilson|Shameek Smith|Shameek was in Pop's barber shop when Patricia collected her son
Patricia Wilson|Bobby Fish|Bobby was in Pop's barber shop when Patricia collected her son
Reva Connors|Luke Cage|Reva and Luke were married
Luke Cage|Dave Griffith|Dave tried to sell luke footage of 'the incident'
Luke Cage|Blind Oliver|Oliver sold Luke a copy of The New Yorker
Luke Cage|Connie Lin|Connie is Luke's landlady.
Luke Cage|Club Manager Nate|Nate had Luke work as a bartender in Harlem's Paradise
Cornell 'Cottonmouth' Stokes|Mariah Dillard|Mariah and Cornell were cousins, then she killed him
Mama Mabel|Cornell 'Cottonmouth' Stokes|Mama Mabel was Cornell's grandma, and raised him
Mama Mabel|Mariah Dillard|Mama Mabel was Mariah's grandma, and raised her
Luke Cage|Misty Knight|Luke and Misty ran into eachother a lot
Domingo Colon|Cornell 'Cottonmouth' Stokes|Cornell made a deal to sell guns to Domingo
Domingo Colon|Mariah Dillard|Dillard visited Colon to arrange a transition of power after Cornell's death
Dante Chapman|Shameek Smith|Dante and Shameek robbed Cottonmouth's gun sale
Dante Chapman|Wilfredo 'Chico' Diaz|Dante and Chico robbed Cottonmouth's gun sale
Candace Miller|Luke Cage|Candace got Luke to help her bring drinks up to Cottonmouth
Candace Miller|Misty Knight|Candace told Misty that Luke killed Cottonmouth
Luke Cage|Domingo Colon|Luke took out Domingo's men at his gym so he could get rid of his guns
Luke Cage|Cornell 'Cottonmouth' Stokes|Luke took down Cornell's business
Luke Cage|Mariah Dillard|Luke brought drinks to Cottonmouth's table, which Mariah was at
Candace Miller|Domingo Colon|Candace brought drinks to Cottonmouth's table, which Domingo was at
Candace Miller|Cornell 'Cottonmouth' Stokes|Candace brought drinks to Cottonmouth's table
Candace Miller|Mariah Dillard|Dillard had Candace say that Luke killed Cottonmouth
Dante Chapman|Tone|Dante called Tone after he got shot at the gun sale
Tone|Cornell 'Cottonmouth' Stokes|Tone was Cornell's bodyguard
Tone|Mariah Dillard|Tone was protecting Cornell when he was with Mariah in Harlem's paradise
Tone|Domingo Colon|Tone was protecting Cornell when he was with Domingo in Harlem's paradise.
Tone|Candace Miller|Tone acted most ungentlemanly towards Candace when she brought Cornell's champagne
Tone|Luke Cage|Tone was Cornell's bodyguard when Luke brought champagne to his table
Detective Scarfe|Misty Knight|Scarfe and Knight were parters
Bailey|Misty Knight|Bailey and Misty were both at the crime scene at the failed gun sale
Bailey|Detective Scarfe|Bailey and Scarfe were both at the crime scene at the failed gun sale
Hernan 'Shades' Alvarez|Cornell 'Cottonmouth' Stokes|Diamondback sent Shades to help Cottonmouth
Hernan 'Shades' Alvarez|Tone|Tone was with Cornell when Shades arrived in Harlem's Paradise
Dante Chapman|Henry 'Pop' Hunter|Pop knew Dante before he was killed in the gun heist
Mariah Dillard|Megan McClaren|Megan reported on Mariah's Harlem redevelopment projects
Hernan 'Shades' Alvarez|Mariah Dillard|Shades helped Mariah take over Cottonmouth's empire
Tone|Shameek Smith|Tone brought Shameek to Harlem's Paradise after he stole Cornell's money
Luke Cage|Hernan 'Shades' Alvarez|Shades and Luke were in Seagate prison together
Shameek Smith|Cornell 'Cottonmouth' Stokes|Cornell killed Shameek for stealing his money
Shameek Smith|Hernan 'Shades' Alvarez|Shades was with Cornell when he killed Shameek
Connie Lin|Jin Lin|Jin and Connie own the chinese restaurant Luke lives above
