Father Lantom|Elder Gahiji|Lantom met Gahiji when helping churches in Rwanda
Father Lantom|Matt Murdock|Lantom was the priest at Matt's church
Father Lantom|Karen Page|Karen attended Ben Urich's funeral, which was led by Father Lantom
Father Lantom|Doris Urich|Lantom led the funeral for Doris' husband, Ben Urich
Father Lantom|Mitchell Ellison|Ellison attended Ben Urich's funeral, which was led by Father Lantom
Father Lantom|Silvio|Silvio attended Ben Urich's funeral, which was led by Father Lantom
Father Lantom|Nurse Norma|Norma attended Ben Urich's funeral, which was led by Father Lantom
Detective Carl Hoffman|Wilson Fisk|Hoffman was an inside man in the NYPD for Fisk
Detective Carl Hoffman|Detective Christian Blake|Blake and Hoffman were partners
Detective Carl Hoffman|Matt Murdock|Murdock and Nelson spoke to Hoffman to get Karen released
Detective Carl Hoffman|Foggy Nelson|Nelson and Murdock spoke to Hoffman to get Karen released
Detective Carl Hoffman|Piotr|Hoffman and his parter killed Piotr for betraying Fisk
Detective Carl Hoffman|Ben Urich|Ben asked Hoffman for information about an officer being held hostage by Daredevil
Detective Carl Hoffman|James Wesley|Wesley and Hoffman worked for Fisk
Detective Carl Hoffman|Brett Mahoney|Hoffman spoke with Mahoney on his way to kill Detective Blake
Detective Carl Hoffman|Leland Owlsley|Owlsley paid Hoffman to testify against Fisk in the event of his death
Detective Carl Hoffman|Officer Corbin|Corbin was sent to kill Hoffman for planning to testify against Fisk
Detective Carl Hoffman|Ivan|Hoffman tortured Ivan to find the russian gang leaders for Fisk
Detective Christian Blake|Wilson Fisk|Blake was an inside man in the NYPD for Fisk
Detective Christian Blake|Matt Murdock|Murdock and Nelson spoke to Blake to get Karen released
Detective Christian Blake|Foggy Nelson|Nelson and Murdock spoke to Blake to get Karen released
Detective Christian Blake|Piotr|Blake and his parter killed Piotr for betraying Fisk
Detective Christian Blake|James Wesley|Wesley sent Blake locations of Russian gang bases in need of clearing out
Detective Christian Blake|Ivan|Blake tortured Ivan to find the russian gang leaders for Fisk
Detective Christian Blake|Ben Urich|Ben asked Blake for information about an officer being held hostage by Daredevil
Detective Christian Blake|Brett Mahoney|Brett was assigned to protection detail for Blake
Jack Murdock|Matt Murdock|Jack was Matt's dad
Jack Murdock|Roscoe Sweeney|Murdock took bribes from Sweeney to lose fights
Jack Murdock|Boxer Price|Price won a last round victory against Murdock in the boxing ring
Jack Murdock|Silke|Silke offered Murdock a fight with Carl Creel
Jack Murdock|Carl Creel|Murdock beat Creel in the boxing ring
Jack Murdock|Bookie Ed|Jack had Ed place a large bet on his fight against Creel
Anatoly Ranskahov|Vladimir Ranskahov|Vladimir and Anatoly were brothers, in charge of the russian mob in New York
Anatoly Ranskahov|Prisoner Alexei|Alexei shared a cell with Anatoly in a siberian prison
Anatoly Ranskahov|Wilson Fisk|Fisk removed Anatoly's head with a car door
Anatoly Ranskahov|Madame Gao|Anatoly and Gao ran a drug trade in New York
Anatoly Ranskahov|Leland Owlsley|Anatoly and Owlsley worked together in the New York drugs trade
Anatoly Ranskahov|Nobu Yoshioka|Anatoly and Nobu worked together in the New York drugs trade
Anatoly Ranskahov|James Wesley|Wesley didn't like Anatoly using his employers name
Anatoly Ranskahov|Turk Barrett|Turk worked for Anatoly and Vladimir
Anatoly Ranskahov|Prisoner Oleg|Oleg was a cell mate of Anatoly in a siberian prison
Anatoly Ranskahov|Semyon|Anatoly sent Semyon to find Daredevil
Anatoly Ranskahov|Sergei|Sergei told Anatoly the restaurant he could find Fisk at
Anatoly Ranskahov|Dmitry|Dmitry worked for Anatoly
Anatoly Ranskahov|Vanessa Marianna|Anatoly interrupted Vanessa and Fisk's dinner
