Jessica Jones|Luke Cage|Jessica killed Luke's wife, then stalked him, then slept with him
Jessica Jones|Trish Walker|Jessica and Trish are life-long friends
Jessica Jones|Hope Shlottman|Jessica saved Hope from Kilgrave, for a while
Jessica Jones|Malcolm Ducasse|Malcolm spied on Jessica for Kilgrave
Jessica Jones|Jeri Hogarth|Jessica worked for Hogarth as a freelance investigator
Jessica Jones|Kilgrave|This is basically the whole show - just watch it
Luke Cage|Malcolm Ducasse|Malcolm told Luke what Kilgrave did to Jessica
Luke Cage|Kilgrave|Kilgrave compelled Luke to mess with Jessica Jones
Trish Walker|Hope Shlottman|Trish interviewed Hope for her radio show
Trish Walker|Malcolm Ducasse|Malcolm asked Trish to stop Jessica from making a huge mistake
Trish Walker|Jeri Hogarth|Hogarth was with Hope when Trish interviewed her
Trish Walker|Kilgrave|Kilgrave asked Trish if she thought insulting him was a good idea
Hope Shlottman|Jeri Hogarth|Hogarth represented Hope for the murder of her parents while under Kilgrave's control
Hope Shlottman|Kilgrave|Kilgrave abducted Hope and made her kill her parents
Malcolm Ducasse|Kilgrave|Kilgrave compelled Malcolm to become a drug addict and spy on Jessica Jones
Jeri Hogarth|Kilgrave|Hogarth drove Kilgrave to see Wendy
Pam|Desmond Tobey|Pam was present when Desmond, Jeri and Wendy discussed the divorce
Pam|Jeri Hogarth|Pam and Jeri had an affair
Pam|Jessica Jones|Jessica told Pam the Jeri was expecting her, even though she wasn't. Jessica lies.
Wendy Ross-Hogarth|Jeri Hogarth|Wendy and Jeri were married
Wendy Ross-Hogarth|Pam|Pam killed Wendy with a vase
Wendy Ross-Hogarth|Jessica Jones|Wendy wrote Jessica a prescription for anti-psychotics
Wendy Ross-Hogarth|Kilgrave|Kilgrave told Wendy to kill her wife
Zack|Trish Walker|Zack worked as a producer for Trish
Zack|Nicole|Zack and Nicole both worked for Trish Walker
Roy Healy|Luke Cage|Roy tended bar for Luke
Roy Healy|Jessica Jones|Roy told Jessica she had to swim or fly
Roy Healy|Gina|Roy was present when Gina was at Luke's bar
Bob Shlottman|Malcolm Ducasse|Bob saw Malcolm as he was leaving Jessica's apartment
Barbara Shlottman|Malcolm Ducasse|Barbara saw Malcolm as he was leaving Jessica's apartment
Bob Shlottman|Barbara Shlottman|Bob and Barbara were married
Bob Shlottman|Hope Shlottman|Bob was Hope's father
Barbara Shlottman|Hope Shlottman|Barbara was Hope's mother
Bob Shlottman|Jessica Jones|Bob and Barbara Shlottman hired Jessica to find their daugher, Hope
Barbara Shlottman|Jessica Jones|Bob and Barbara Shlottman hired Jessica to find their daugher, Hope
Gregory Spheeris|Jessica Jones|Jessica threatened Gregory with her laser eyes
Gregory Spheeris|Jeri Hogarth|Hogarth sued Spheeris on behalf of a client
