Dottie Underwood|Peggy Carter|Peggy had Dottie retrieve a "blood" sample from Whitney Frost
Dottie Underwood|Jack Thompson|Thompson tried to interrogate Dottie, she beat him up
Dottie Underwood|Vernon Masters|Vernon took Dottie into FBI custody from the SSR
Dottie Underwood|Daniel Sousa|Sousa recaptured Dottie to get a blood sample from Whitney Frost
Dottie Underwood|Jason Wilkes|Wilkes was present when Dottie was being prepped for a mission for team Carter
Dottie Underwood|Edwin Jarvis|Dottie and Jarvis went undercover together to get a blood sample from Whitney Frost
Dottie Underwood|Calvin Chadwick|Dottie watched Calvin get absorbed by Whitney Frost
Dottie Underwood|Whitney Frost|Dottie took a sample of Frost's "blood" for Peggy
Dottie Underwood|Hugh Jones|Dottie hid in a cupboard in a meeting room Hugh was in
Dottie Underwood|Mortimer Hayes|Dottie hid in a cupboard in a meeting room Mortimer was in
Dottie Underwood|Joseph Manfredi|Manfredi interrupted Dottie's interrogation by Vernon Masters
Jane Scott|Calvin Chadwick|Jane was Calvin's mistress
Jane Scott|Jason Wilkes|Jane and Jason both worked at Isodyne Energy
Whitney Frost|Calvin Chadwick|Whitney Frost was married to Calvin Chadwick
Whitney Frost|Wilma Cully|Wilma Cully was Whitney Frost's mother
Whitney Frost|Richard Cully|Richard Cully was Whitney Frost's father
Whitney Frost|Bud Schultz|Whitney did not like Bud
Whitney Frost|Ned Silver|Ned offered to get Whitney into the movie business
Whitney Frost|Edwin Jarvis|Jarvis distracted Frost at the races while Peggy questioned her husband
Whitney Frost|Peggy Carter|Peggy worked to stop Whitney taking over the world with Zero Matter
Whitney Frost|Jason Wilkes|Frost and Wilkes both tried to steal, and were affected by, the Zero Matter
Whitney Frost|Director Kenneth|Kenneth was directing a film that Whitney was starring in. She accidentally absorbed him
Whitney Frost|Ralph|Ralph worked in lighting on a film set that Whitney was working at
Whitney Frost|Mabel|Mabel worked as a housemaid for Whitney Frost
Whitney Frost|Rufus Hunt|Whitney absorbed Hunt for trying to blackmail her and her husband
Whitney Frost|Joseph Manfredi|Frost went to Manfredi to get men to help her steal a nuclear bomb
Whitney Frost|Clifford (Maggia)|Clifford was killed by Manfredi for the way he looked at Whitney
Whitney Frost|Vernon Masters|Vernon met Whitney at a fundraising party for her husband
Whitney Frost|Jack Thompson|Thompson was introduced to Whitney at a fundraising party for her husband
Whitney Frost|Thomas Gloucester|Frost absorbed Gloucester when the Council of Nine tried to kill her
Whitney Frost|Hugh Jones|Frost met Jones at a meeting of the Council of Nine
Whitney Frost|Mortimer Hayes|Frost met Hayes at a meeting of the Council of Nine
Whitney Frost|Ana Jarvis|Frost shot Ana to buy time to escape from Peggy
Whitney Frost|Howard Stark|Stark hit Frost with a car to stop her killing Peggy & Co.
Whitney Frost|Hank (Maggia)|Frost tortured Hank with Zero Matter for information
Whitney Frost|Aloysius Samberly|The sight of a zero-matter imbued Whitney caused Samberly to faint
Whitney Frost|Daniel Sousa|Sousa arrested Frost once she was drained of Zero Matter
