Mike Peterson|Ace Peterson|Mike is Ace's father
Mike Peterson|Raina|Raina recruited Mike into Project Centipede
Mike Peterson|Centipede Doctor Debbie|Debbie gave the centipede serum to Mike
Mike Peterson|Daisy Johnson|Daisy (then Skye) helped Mike get his son back from Cybertek
Mike Peterson|Supervisor Gary|Gary used to be Mike's boss
Mike Peterson|Agent Coulson|Mike worked with Coulson's team to take on Project Centipede
Mike Peterson|Melinda May|Mike worked with May on Coulson's team to take on Project Centipede
Mike Peterson|Grant Ward|Mike worked with Ward on Coulson's team to take on Project Centipede
Mike Peterson|Mindy Peterson|Mike and Mindy are brother and sister
Mike Peterson|Leo Fitz|Mike and Fitz worked together in SHIELD
Mike Peterson|Jemma Simmons|Mike and Simmons worked together in SHIELD
Mike Peterson|Brian Hayward|Mike fought Brian when attacking Centipede's base with Coulson's team
Mike Peterson|Ian Quinn|Quinn equipped Mike with the tech that turned him into Deathlok
Mike Peterson|Cybertek Security Sofia|Mike was forced to kill Sofia by the Clairvoyant
Mike Peterson|John Garrett|Garrett, as the Clairvoyant, controlled Mike through his eye implant
Mike Peterson|Antoine Triplett|Mike was forced to attack Triplett and Garrett in their safehouse
Mike Peterson|Felix Blake|Mike was forced to attack Blake and May, putting Blake in a wheelchair
Mike Peterson|Alejandro Castillo|Mike was forced to kill Castillo by the Clairvoyant
Mike Peterson|General Jacobs|Mike watched Garrett kill Jacobs
Mike Peterson|Nick Fury|Peterson was present when Fury and Coulson took on Garrett
Mike Peterson|Kyle Zeller|Zeller was forced to be Mike's handler for Cybertek
Mike Peterson|Kisha Peterson|Mike is Kisha's uncle
Mike Peterson|Carlo Mancini|Mike was forced to kill Mancini by The Clairvoyant
Centipede Doctor Debbie|Raina|Raina and Debbie worked together for Project Centipede
Centipede Doctor Debbie|Chan Ho Yin "Scorch"|Debbie experimented on Scorch for Centipede
Doctor J. Streiten|Nick Fury|Fury tasked Streiten with reviving Coulson
Doctor J. Streiten|Agent Coulson|Streiten brought Coulson back from the dead
Doctor J. Streiten|Maria Hill|Hill and Streiten discussed Coulson's revival
Doctor J. Streiten|Dr Goodman|Streiten and Goodman worked together in Project TAHITI
Maria Hill|Grant Ward|Hill evaluated Ward for Coulson's team
Maria Hill|Agent Coulson|Hill and Coulson worked together in SHIELD
Maria Hill|Victoria Hand|Hill demanded constant updates from Hand during the search for Coulson
Maria Hill|Pepper Potts|Hill spoke with Pepper on the phone about the governments inquiry into SHIELD
Maria Hill|Melinda May|May visited Hill in DC after the fall of SHIELD
Maria Hill|General Glenn Talbot|Hill told Talbot the location of Providence base
Maria Hill|Antoine Triplett|Hill and Triplett worked together to bring in Garrett and Ward
Maria Hill|Leo Fitz|Hill and Fitz worked together for SHIELD tracking down Garrett and Ward
Maria Hill|Jemma Simmons|Hill and Simmons worked together for SHIELD tracking down Garrett and Ward
Maria Hill|Nick Fury|Fury told Hill a clue about where the TAHITI files were kept
Maria Hill|Lian May|Before the fall of SHIELD, Lian and Maria got along well
