Gabe Reyes|Agent Coulson|Coulson hid Gabe with Daisy and Robbie in the containment module
Gabe Reyes|Daisy Johnson|Daisy met Gabe while working with Ghost Rider
Gabe Reyes|Leo Fitz|Gabe met Fitz aboard Zephyr One
Gabe Reyes|Alphonso Mackenzie|Gabe met Mack aboard Zephyr One
Gabe Reyes|Robbie Reyes|Robbie and Gabe are brothers
Gabe Reyes|Eli Morrow|Eli was Gabe's uncle
Gabe Reyes|Workshop owner Canelo|Canelo helped out Gabe and Robbie
Gabe Reyes|Janet|Gabe got a lift home from Janet
Gabe Reyes|Jeffrey Mace|Gabe watched Ghost Rider fight Jeffrey Mace
Gabe Reyes|Johnny Blaze|Johnny pulled Gabe from the car wreck after he and his brother were attacked by the Fifth Street Locos
Lucy Bauer|Joseph Bauer|Lucy and Joseph stole the Darkhold from Johnny Blaze
Lucy Bauer|Ghost Hugo|Lucy and Hugo both became ghosts while researching the Darkhold
Lucy Bauer|Ghost Vincent|Vincent and Lucy both became ghosts while researching the Darkhold
Lucy Bauer|Ghost Frederick|Lucy and Frederick both became ghosts while researching the Darkhold
Lucy Bauer|Eli Morrow|Lucy was turned into a ghost by Eli
Lucy Bauer|Robbie Reyes|As Ghost Rider, Robbie killed ghost Lucy
Lucy Bauer|Melinda May|Lucy infected May with her ghostly fear powers
Lucy Bauer|Agent Coulson|Lucy locked Coulson and team in an open prison wing
Lucy Bauer|Daisy Johnson|Lucy locked Daisy and team in an open prison
Lucy Bauer|Chinatown Crew Chen|Lucy infected Chen with her ghostly fear powers
Agent Piper|Jeffrey Mace|Piper saw Mace knock out a ghost addled Agent May
Agent Piper|Agent Coulson|Piper and Coulson worked together in SHIELD
Agent Piper|Melinda May|Piper worked with May in a SHIELD tactical strike team
Agent Piper|Jemma Simmons|Piper worked with Simmons in SHIELD
Agent Piper|Chinatown Crew Chen|Piper and team captured Chen
Agent Piper|Agent Prince|Prince and Piper were both part of May's strike team
Agent Davis|Elena 'Yo-Yo' Rodriguez|Davis checked Elena's SHIELD watch on Zephyr One
Agent Davis|Alphonso Mackenzie|Davis and Mack worked together to rescue Coulson and May from South Ridge Penitentiary
Agent Davis|Leo Fitz|Fitz gave Davis a case containing antidote to Lucy Bauer's ghost infection powers
Agent Davis|Daisy Johnson|Davis worked with Daisy when rescuing Coulson and May from South Ridge Penitentiary
Agent Davis|Agent Prince|Prince and Davis worked together when SHIELD rescued Coulson and May from South Ridge Penitentiary
Agent Davis|Agent Coulson|Davis was part of the SHIELD team that rescued Coulson from South Ridge Penitentiary
Agent Davis|Melinda May|Davis was part of the SHIELD team that rescued May from South Ridge Penitentiary
Agent Prince|Melinda May|Prince was part of May's strike team
Agent Prince|Agent Coulson|Price was in the SHIELD rescue team that extracted Coulson from South Ridge Penitentiary
Agent Prince|Alphonso Mackenzie|Prince worked under Mack to help rescue Coulson and May from South Ridge Penitentiary
Agent Prince|Daisy Johnson|Prince worked with Johnson to rescue Coulson and May from South Ridge Penitentiary
Chinatown Crew Chen|Eli Morrow|Eli and Chen met in prison
Chinatown Crew Chen|Melinda May|May and her team captured Chen, preventing them from selling the ghost box
Chinatown Crew Chen|Jemma Simmons|A ghost addled Chen repeatedly bashed his head against the containment module door infront of Simmons
Chinatown Crew Chen|M. Scott|Chen hired Scott and his crew to steal a ghost box from Momentum Energy Lab
Chinatown Crew Chen|T. Mitchell|Chen hired Mitchell and his crew to steal a ghost box from Momentum Energy Lab
Chinatown Crew Chen|D. Anderson|Chen hired Anderson and his crew to steal a ghost box from Momentum Energy Lab
Chinatown Crew Chen|R. Moore|Chen hired Moore and his crew to steal a ghost box from Momentum Energy Lab
M. Scott|Robbie Reyes|As Ghost Rider, Robbie gave Scott the wound that went on to kill him
M. Scott|Daisy Johnson|Daisy questioned Scott about Ghost Rider in hospital
M. Scott|R. Moore|Scott and Moore were attacked and killed by Ghost Rider
M. Scott|D. Anderson|Scott and Anderson were attacked and killed by Ghost Rider
M. Scott|T. Mitchell|Scott and Mitchell were attacked and killed by Ghost Rider
T. Mitchell|D. Anderson|Mitchell and Anderson stole a ghost box from Momentum Energy Lab
T. Mitchell|R. Moore|Mitchell and Moore stole a ghost box from Momentum Energy Lab
T. Mitchell|Robbie Reyes|Reyes, as Ghost Rider, killed Mitchell with the Hell Charger
T. Mitchell|Daisy Johnson|Daisy saw Mitchell get kidnapped by Ghost Rider
D. Anderson|R. Moore|Anderson and Moore stole a ghost box from Momentum Energy Lab
D. Anderson|Robbie Reyes|Reyes, as Ghost Rider, attacked and killed Anderson
D. Anderson|Daisy Johnson|Daisy saw Anderson get attacked by Ghost Rider
R. Moore|Robbie Reyes|Moore tried to destroy Robbie's Hell Charger with a rocket launcher
R. Moore|Daisy Johnson|Daisy saw Moore get killed by Ghost Rider
Nathanson|Agent Coulson|Coulson and Nathanson worked together in SHIELD
Nathanson|Alphonso Mackenzie|Mack and Nathanson worked together in SHIELD
Nathanson|Jemma Simmons|Nathanson worked for Simmons in SHIELD's science division
Nathanson|Melinda May|Nathanson found May unconscious in Radcliffe's house
Nathanson|Jeffrey Mace|Mace sent Nathanson to retrieve Radcliffe's LMD work
Nathanson|Aida|Aida killed Nathanson after he discovered the kidnapped Agent May
Janet|Robbie Reyes|Janet was a friend to Robbie and his brother
Ghost Frederick|Eli Morrow|Frederick was turned into a ghost by Eli
Ghost Frederick|Joseph Bauer|Joseph and Frederick performed Darkhold research together at Momentum Energy Labs
Ghost Frederick|Ghost Hugo|Frederick and Hugo worked at Momentum Energy Labs and were turned into ghosts together
Ghost Frederick|Ghost Vincent|Vincent and Frederick did Darkhold research at Momentum Labs together
Ghost Frederick|Leo Fitz|Frederick tried to kill Fitz at Momentum Energy Labs
